product_name,ingredient_list,cluster,x,y
Anti-Acne Cream,"alpinia katsumadai seed extract (and) aqua (and) butylene glycol, carbomer, deionized water, dimethicone, disodium edta, fragrance, glycerin, glyceryl stearate (and) sorbitan monoleate (and) stearic acid (and) fatty alcohol polyoxyethylene ether, mineral oil, octyl glycerin, petrolatum, phenoxyethanol&ethylhexylglycerine, potassium azelaoyl diglycinate, stearic acid, strearyl alcohol, titanium dioxide, triethanolamine",5,16.591867,6.9977665
Anti-Ageing/Wrinkle Soap 100g,"ascorbic acid, ci 16035, ci 60730, deionized water, fragrance, glycerin, prunus armeniaca (apricot) seed powder, sanil extract, sodium palmate, sodium palm kernelate",2,8.477126,0.9838366
Anti-Frizz,"argania spinosa kernel oil, caprylic/capric triglyceride, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, cyclopentasiloxane, dimethiconol, dimethicone, isohexadecane, fragrance, isostearoyl hydrolyzed silk (and) isostearic acid, mineral oil, tocopheryl acetate",4,12.3792715,5.314439
Anti-Frizz Oleo complexe Moringa Immortale,"almond (prunus dulcis) oil , almond oil, capric/ caprilic triglyceride, cocos nucifera (coconut) oil, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, isohexadecane, mineral oil, olive oil, tocopherol acetate",4,12.128238,5.184739
Anti-Frizz Oleo relax Nutria Serum,"capric/ caprilic triglyceride, cocos nucifera (coconut) oil, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, isohexadecane, machadamia oil, mineral oil, olive oil, tocopherol acetate",4,12.114492,5.108007
Anti-Frizz Oleo-Complexe Moringa immortale (Blue),"argania spinosa kernel oil, capric/ caprylic triglyceride, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, isohexadecane, fragrance, mineral oil, tocopheryl acetate",4,12.764827,5.377879
Anti-Wrinkle Soap 90g,"ci 15985, ci 19140, ci 77266 (and) glycerin (and) aqua (and) pvp, deionized water, glycerin, niacinamide, prunus amygdalus dulcis (sweet almond) oil, sodium lauryl sulfate, sodium palmate, sodium palm kernelate, tocopheryl acetate",2,8.723438,0.0051314672
Anti-frizz Oleo complexe,"argania spinosa kernel oil, cocos nucifera (coconut) oil, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, isohexadecane, mineral oil, olive oil, tocopherol acetate",4,12.070789,5.096479
Anti-stretch Mask Cream 100g.,"acrylates/c10-30 alkyl acrylate crosspolymer, almond oil, argan oil, butyrospermum parkii (shea butter), cetyl alcohol, collagen, cyclomethicone, deionize  water, disodium edta, glycerin, glyceryl monostearate, glyceryl stearate (and) sorbitan monoleate (and) stearic acid (and) fatty alcohol polyoxyethylene ether, mineral oil, petroleum jelly, phenoxyethanol& ethylhexylglycerine, polyacrylate-13 (and) polyisobutene (and) polysorbate 20, portulaca extract, propylene glycol, stearyl alcohol, sunflower oil, titanium dioxide, tocopherol acetate",5,15.648362,6.8813844
Anti-wrinkle- Alpha Arbutin,"3-o-ethyl ascorbic acid, alpha arbutin, alpinia katsumadai seed extract, benzyl alcohol, ethylhexylglycerin, tocopherol, deionized water, fragrance, glycerin, niacinamide, peg-40 hydrogenated castor oil, pentasodium tetracarboxymethyl dipeptide-51, pentasodium tetracarboxymethyl acetylhydroxyprolyl dipeptide-12, polysorbate 20, propylene glycol",5,6.59659,4.447498
Arbutin DS Alpha Arbutin with Vitamin C and Kojic acid for Treatment Anti-nelasma 30 ml,"3-o-ethyl ascorbic acid, alpha arbutin, benzyl alcohol (and) ethylhexylglycerin (and) tocopherol, beta-glucan, deionized water, disodium edta, ethanol, isopentyldiol, kojic dipalmitate, methyl propanediol, peg-40 hydrogenated castor oil, sodium hyaluronate, tranexamic acid,  butylene glycol (and) water (and) citrus reticulata (tangerine) peel extract",5,13.065826,7.7895103
Arbutin DS Serum 30 ml,"benzyl alcohol, ethylhexylglycerin, tocopherol, citrus reticulata (tangerine) peel extract (and) water (aqua) (and) butylene glycol, deionized water, disodium edta, fragrance, isopentyldiol, niacinamide, panthanol, polysorbate 20, sodium hyaluronate",5,6.678852,4.3894277
Argan Delux,"argania spinosa (argan) kernel oil, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, dimethicone, isohexadecane, fragrance, mineral oil",4,12.211269,5.5994673
Argan Oil Cream,"acrylates/c10-30 alkyl acrylate crosspolymer, ci 16035, ci 20170, cetearyl alcohol, cyclopentasiloxane, cyclotetrasiloxane, dimethiconol, cycomethicone, deionized water, disodium edta, fragrance, glycerin, glyceryl stearate, sorbitan oleate, stearic acid, ceteareth-25, c9-15 alkyl phosphate, methylchloroisothiazolinone / methylisothiazolinone, mineral oil, petrolatum, phenoxyethanol, methyl paraben, propyl paraben, propylene glycol, stearic acid, triethanolamine",6,19.211073,8.179928
Argan Oil Hair Oil,"argania spinosa (argan) kernel oil , cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, fragrance, mineral oil",5,11.337945,5.2941103
Argan Oil Hair Shampoo,"cocamide dea, cocamidopropyl betaine, colorant, deionized water, disodium edta, fragrance, methylchloroisothiazolinone / methylisothiazolinone, polyquaternium 7, polysorbate 20, propylene glycol, sodium chloride, sodium laureth sulfate, citric acid",3,4.2028165,-0.11973713
Argan Shampoo,"ci 61565, citric acid, cocamide dea, cocamidopropyl betaine, deionized water, disodium edta, fregrance, methylchloroisothiazolinone / methylisothiazolinone, polyquaternium-7, propylene glycol, sodium chloride, sodium laureth sulfate",3,5.3182764,0.38646698
Argan oil,"ci 26100, ci 47000, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, isohexadecane, fragrance, tocopheryl acetate",4,11.97631,5.667965
Argan oil Conditioner,"amodimethicone, amodimethicone (and) trideceth-12 (and) cetrimonium chloride, argania spinosa (argan) kernel oil, behentrimonium chloride, behentrimonium chloride, ceto-stearyl alcohol, cetrimonium chloride, cetrimonium chloride, cetyl alcohol, citric acid, cocamide mea, deionized water, dimethicone, disodium edta, fragrance, glyceryl monostearate, glyceryl stearate & sorbitan monoleate & stearic acid & fatty alcohol polyoxyethylene ether, isopropyl myristate, mineral oil, phenoxyethanol & ethylhexylglycerin, phenoxyethanol&ethylhexylglycerin, propylene glycol, stearamidopropyl dimethylamine, stearyl alcohol",5,18.739838,5.16013
Argan oil Hair Mask,"argania spinosa (argan) kernel oil, cetearyl alcohol, cetrimonium chloride, cetyl alcohol, cocamide mea, dl-pentanol (vitamin b5), deionized water, dimethicone, disodium edta, glycerin, glyceryl monostearate, mineral oil, peg-150/decyl alcohol/smdi copolymer, phenoxyethanol&ethylhexylglycerin",5,18.639902,5.0183964
Argan oil Hair oil,"argania spinosa (argan) kernel oil, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, dimethicone, isohexadecane, fragrance, liquid paraffin, mineral oil",4,12.096997,5.5119147
Argan oil Shampoo,"argania spinosa (argan) kernel oil, cocamide dea, cocamidopropyl betaine, deionized water, disodium edta, fragrance, methylchloroisothiazolinone / methylisothiazolinone, polyquaternium 11, polyquaternium 7, polyquaternium-10, polysorbate 20, potassium cocoate, sodium chloride, sodium laureth sulfate (and) glycol distearate (and) cocamide mea (and) laureth-10, sodium myristoyl sarcosinate, sodium laureth sulfate, water (and) propoxytetramethylpiperidinyl dimethicone (and) trideceth-6",3,3.8289692,-0.4372327
Argan oil from morocco,"argan oil , argania spinosa kernel oil, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, fragrance, tocopheryl acetate",4,11.667118,5.2664733
Argan oil& Aloe Hair mask,"behentrimonium chloride, cetrimonium chloride, cetyl alcohol, citric acid, cocamide mea, deionized water, disodium edta, fragrance, glyceryl stearate & sorbitan monoleate & stearic acid & fatty alcohol polyoxyethylene ether, isopropyl myristate, mineral oil, phenoxyethanol&ethylhexylglycerin, polyacrylamidopropyltrimonium chloride, stearyl alcohol",5,18.747528,5.105502
Avocado Oil 100% Pure Moisturizing Oil,"ci 47000, mineral oil, persea gratissima (avocado) oil",5,9.677994,4.4522667
BABY SHAMPOO,"citric acid, cocamide dea, cocamidopropyl betaine, deionized water, diaodium edta, methylchloroisothiazolinone / methylisothiazolinone, propylene glycol, sodium chloride, sodium laureth sulfate",3,5.0221577,0.2680395
BS-007 Mud Mask Herbal_New_CFUp_29.1.2021,"a, b, c, d, e",5,9.662584,3.7211528
